image,text
AK-47 A Imperatriz.png,AK-47 A Imperatriz rifle de assalto
AK-47 Aquamarine Revenge.png,AK-47 Aquamarine Revenge rifle de assalto
AK-47 Asiimov.png,AK-47 Asiimov rifle de assalto branca laranja futurista
AK-47 Baroque Purple.png,AK-47 Baroque Purple rifle de assalto
AK-47 Black Laminate.png,AK-47 Black Laminate rifle de assalto
AK-47 Bloodsport.png,AK-47 Bloodsport rifle de assalto vermelha esportiva futurista
AK-47 Blue Laminate.png,AK-47 Blue Laminate rifle de assalto
AK-47 Cartel.png,AK-47 Cartel rifle de assalto
AK-47 Case Hardened.png,AK-47 Case Hardened rifle de assalto metálica azul dourada
AK-47 Elite Build.png,AK-47 Elite Build rifle de assalto
AK-47 Emerald Pinstripe.png,AK-47 Emerald Pinstripe rifle de assalto
AK-47 Fire Serpent.png,AK-47 Fire Serpent rifle de assalto serpente verde lendária
AK-47 First Class.png,AK-47 First Class rifle de assalto
AK-47 Frontside Misty.png,AK-47 Frontside Misty rifle de assalto
AK-47 Fuel Injector.png,AK-47 Fuel Injector rifle de assalto
AK-47 Gold Arabesque.png,AK-47 Gold Arabesque rifle de assalto
AK-47 Green Laminate.png,AK-47 Green Laminate rifle de assalto
AK-47 Head Shot.png,AK-47 Head Shot rifle de assalto
AK-47 Hydroponic.png,AK-47 Hydroponic rifle de assalto
AK-47 Ice Coaled.png,AK-47 Ice Coaled rifle de assalto
AK-47 Inheritance.png,AK-47 Inheritance rifle de assalto
AK-47 Jaguar.png,AK-47 Jaguar rifle de assalto
AK-47 Jet Set.png,AK-47 Jet Set rifle de assalto
AK-47 Jungle Spray.png,AK-47 Jungle Spray rifle de assalto
AK-47 Leet Museo.png,AK-47 Leet Museo rifle de assalto
AK-47 Legion of Anubis.png,AK-47 Legion of Anubis rifle de assalto
AK-47 Neon Revolution.png,AK-47 Neon Revolution rifle de assalto
AK-47 Neon Rider.png,AK-47 Neon Rider rifle de assalto neon colorida futurista
AK-47 Nightwish.png,AK-47 Nightwish rifle de assalto
AK-47 Orbit Mk01.png,AK-47 Orbit Mk01 rifle de assalto
AK-47 Panthera onca.png,AK-47 Panthera onca rifle de assalto
AK-47 Phantom Disruptor.png,AK-47 Phantom Disruptor rifle de assalto
AK-47 Point Disarray.png,AK-47 Point Disarray rifle de assalto
AK-47 Predator.png,AK-47 Predator rifle de assalto
AK-47 Rat Rod.png,AK-47 Rat Rod rifle de assalto
AK-47 Red Laminate.png,AK-47 Red Laminate rifle de assalto
AK-47 Safari Mesh.png,AK-47 Safari Mesh rifle de assalto
AK-47 Safety Net.png,AK-47 Safety Net rifle de assalto
AK-47 Slate.png,AK-47 Slate rifle de assalto
AK-47 Steel Delta.png,AK-47 Steel Delta rifle de assalto
AK-47 Uncharted.png,AK-47 Uncharted rifle de assalto
AK-47 Vulcan.png,AK-47 Vulcan rifle de assalto azul moderna
AK-47 Wasteland Rebel.png,AK-47 Wasteland Rebel rifle de assalto
AK-47 Wild Lotus.png,AK-47 Wild Lotus rifle de assalto
AK-47 X-Ray.png,AK-47 X-Ray rifle de assalto
AUG Akihabara Accept.png,AUG Akihabara Accept rifle de assalto
AUG Amber Fade.png,AUG Amber Fade rifle de assalto degradê colorido brilhante
AUG Amber Slipstream.png,AUG Amber Slipstream rifle de assalto
AUG Anodized Navy.png,AUG Anodized Navy rifle de assalto
AUG Arctic Wolf.png,AUG Arctic Wolf rifle de assalto
AUG Aristocrat.png,AUG Aristocrat rifle de assalto
AUG Bengal Tiger.png,AUG Bengal Tiger rifle de assalto
AUG Chameleon.png,AUG Chameleon rifle de assalto
AUG Colony.png,AUG Colony rifle de assalto
AUG Condemned.png,AUG Condemned rifle de assalto
AUG Contractor.png,AUG Contractor rifle de assalto
AUG Death by Puppy.png,AUG Death by Puppy rifle de assalto
AUG Flame Jörmungandr.png,AUG Flame Jörmungandr rifle de assalto
AUG Fleet Flock.png,AUG Fleet Flock rifle de assalto
AUG Hot Rod.png,AUG Hot Rod rifle de assalto
AUG Jade Esculpida.png,AUG Jade Esculpida rifle de assalto
AUG Midnight Lily.png,AUG Midnight Lily rifle de assalto
AUG Momentum.png,AUG Momentum rifle de assalto
AUG Navy Murano.png,AUG Navy Murano rifle de assalto
AUG Plague.png,AUG Plague rifle de assalto
AUG Praga.png,AUG Praga rifle de assalto
AUG Radiation Hazard.png,AUG Radiation Hazard rifle de assalto
AUG Random Access.png,AUG Random Access rifle de assalto
AUG Ricochet.png,AUG Ricochet rifle de assalto
AUG Sand Storm.png,AUG Sand Storm rifle de assalto
AUG Snake Pit.png,AUG Snake Pit rifle de assalto
AUG Spalted Wood.png,AUG Spalted Wood rifle de assalto
AUG Storm.png,AUG Storm rifle de assalto
AUG Stymphalian.png,AUG Stymphalian rifle de assalto
AUG Sweeper.png,AUG Sweeper rifle de assalto
AUG Syd Mead.png,AUG Syd Mead rifle de assalto
AUG Tom Cat.png,AUG Tom Cat rifle de assalto
AUG Torque.png,AUG Torque rifle de assalto
AUG Triqua.png,AUG Triqua rifle de assalto
AUG Vigilância.png,AUG Vigilância rifle de assalto
AUG Wings.png,AUG Wings rifle de assalto
AWP Acheron.png,AWP Acheron sniper rifle de precisão
AWP Atheris.png,AWP Atheris sniper rifle de precisão cobra verde
AWP BOOM.png,AWP BOOM sniper rifle de precisão
AWP Black Nile.png,AWP Black Nile sniper rifle de precisão
AWP Capillary.png,AWP Capillary sniper rifle de precisão
AWP Chromatic Aberration.png,AWP Chromatic Aberration sniper rifle de precisão
AWP Chrome Cannon.png,AWP Chrome Cannon sniper rifle de precisão cromada metálica
AWP Containment Breach.png,AWP Containment Breach sniper rifle de precisão
AWP Corticera.png,AWP Corticera sniper rifle de precisão
AWP Desert Hydra.png,AWP Desert Hydra sniper rifle de precisão
AWP Dragon Lore.png,AWP Dragon Lore sniper rifle de precisão dragão dourada lendária
AWP Duality.png,AWP Duality sniper rifle de precisão
AWP Electric Hive.png,AWP Electric Hive sniper rifle de precisão
